Sub Category,Stock,Price,Title,Feature
Bakery & Desserts,111,109.99,Ferrara's Bakery 24 Large Cannoli's (12 Plain Filled and 12 Hand Dipped Belgian Chocolate),12 Large Plain Filled Cannoli   12 Large Hand Dipped Belgian Chocolate Cannoli   Plain Cannoli: After thawing should be eaten within 2 hours for maximize crispness   Chocolate Cannoli: After thawing should be eaten within 48 hours   Frozen: Can be stored up to a year
Bakery & Desserts,298,99.99,"Mary Macleod’s Shortbread, Variety Tin, 3-pack, 24 cookies per tin",Three elegant keepsake tins   All-butter artisan shortbread cookies   Variety of 4 flavors in each tin   Perfect for all your gifting needs   Certified Women Owned bakery
Bakery & Desserts,267,34.99,Ferrara's Bakery Rainbow Cookies 1.5 lb,Tricolor Rainbow Cookies   Each cookie is approximately 1.5 x 2   Small Batch Baking   Can be frozen for up to 6 months
Bakery & Desserts,115,59.99,Ferrara's Bakery 2 lb Italian Cookie Tray and Struffoli,"Assorted Italian Cookie Tray
Struffoli Honey Balls"
Bakery & Desserts,208,89.99,"Tootie Pie 11 Heavenly Chocolate Pie, 2- pack ",Two   11 Heavenly Chocolate Pie   1 Pie Serves Approximately 8-10 People   Each Pie is Diameter: 11 Each and Weight:   3.5 lbs.   Ships with Dry Ice to Maintain Quality & Freshness   Made in the USA
Bakery & Desserts,48,89.99,"Tootie Pie 11 Whiskey Pecan Pie, 2-pack","Two 11 Whiskey Pecan Pie   1 Pie Serves Approximately 8-10 people   Each Pie is Diameter: 11 Each, Weight: 3 lbs.   Ships with Dry Ice to Maintain Quality & Freshness   Made in the USA"
Bakery & Desserts,165,59.99,Tootie Pie 11 Huge Original Apple Pie,One 11 Apple Pie   Serves Approximately 10-12 people   Diameter: 11 Each and Weight: 6 lbs.   Ships with Dry Ice to Maintain Quality & Freshness   Made in the USA
Beverages & Water,138,99.99,"Pulp & Press Organic Cold-Pressed Wellness Shot Pack, 48-pack","12 Ginger, 12 Turmeric, 12 Wheatgrass and 12 Elderberry   Certified Organic   No Preservatives, Added Sugar, Additives (Colors, Flavors)   Vegan and Gluten Free"
Beverages & Water,49,27.99,"Prime Hydration+ Sticks Electrolyte Drink Mix, Variety Pack, 30-Count",Activate with Water   No Added Sugar   Antioxidants + Electrolytes   Caffeine Free   Gluten Free
Beverages & Water,126,21.99,"Prime Hydration Drink, Variety Pack, 16.9 fl oz, 15-count",5 - Tropical Punch   5 - Lemon Lime   5 - Blue Raspberry   16.9 fl oz Bottles   15 Total Bottles
Beverages & Water,146,20.99,"Alani Nu Energy Drink, Variety Pack, 12 fl oz, 18-count",6 - Juicy Peach   6 - Cosmic Stardust   6 - Cherry Slush   12 fl oz Cans   18 Total Cans
Beverages & Water,232,19.99,"Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count",5 - Doc Pop   5 - Grape   5 - Root Beer   12 fl oz Cans   15 Total Cans
Beverages & Water,251,19.99,"Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count",5 - Strawberry Lemon   5 - Orange   5 - Cherry Limeade   12 fl oz Cans   15 Total Cans
Beverages & Water,266,439.99,"Kirkland Signature Bottled Water 16.9 fl oz, 40-count, 48 Case Pallet","Business Members* Click the Business Delivery Tab for Local Delivery Options
Zero Calories
No Artificial Color or Flavors
Minerals Added for a Pure Refreshing Taste"
Beverages & Water,42,9.99,"Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count",Unsweetened   Non-Dairy Beverage   USDA Certified Organic   No Sugar Added   Vegan
Beverages & Water,99,14.99,"Kirkland Signature, Almond Milk, 1 qt, 12-count","Kosher   Vegan   Free of Dairy, Lactose, Soy   No Added Sugar   Made in the USA"
Beverages & Water,250,21.99,"Kirkland Signature, Organic Reduced Fat Chocolate Milk, 8.25 fl oz, 24-Count",USDA Certified Organic   2% Milk Fat   Grade A   Excellent Source of Calcium   Net Weight 198 fl. oz.
Beverages & Water,1,18.99,"Kirkland Signature Colombian Cold Brew Coffee, 11 fl oz, 12-count",Cold Brewed   Product of Colombia   Roasted and Packaged in the USA   100% Colombian   12-count
Beverages & Water,210,21.49,"Hint Flavored Water, Variety Pack, 16 fl oz, 21-count",7 - Blackberry   7 - Watermelon   7 - Peach   16 fl oz Bottles   21 Total Bottles
Beverages & Water,280,17.99,"Califia Farms, Cafe Almond Milk, 32 oz, 6-Count",Non GMO   Vegan   Kosher   Soy Free   Dairy Free
Beverages & Water,3,89.99,Pulp and Press 3-Day Organic Cold Pressed Juice Cleanse,6 (2.4 oz.) Elixir Shots   15 (12 oz.) Cold Pressed Juices   Cold pressed   Certified Organic   Product of Canada
Beverages & Water,60,23.99,"Saratoga Sparkling Spring Water, 16 fl oz, 24-count",Spring Water   16 fl oz Bottles   24 Total Bottles   0 Calories per Bottle
Beverages & Water,289,4.99,"Pure Life Purified Water, 8 fl oz, 24-count",Purified Water   8 fl oz Bottles   24 Total Bottles
Beverages & Water,243,24.99,"Fiji Natural Artesian Water, 23.7 fl oz, 12-count",Natural Artesian Water   23.7 fl oz Bottle with Sports Cap   12 Total Bottles
Beverages & Water,136,18.99,"Tropicana, Apple Juice, 15.2 fl oz, 12-Count",100% Juice   100% Daily Value of Vitamin C   From Concentrate with Other Natural Flavors and Ingredients   Marked for Resale   12-Count
Beverages & Water,2,54.99,"Olipop 12 oz Prebiotics Soda Variety Pack, 24 Count","24 count (12 oz each)   Prebiotics, plant fiber, and botanicals to support digestive health   Variety pack: 6-Root Beer, 6-Vintage Cola, 6-Classic Grape, 6-Orange Squeeze   No artificial sweeteners, flavors, or preservatives   Non-GMO Project Verified, Gluten-free, Vegan, Keto & Paleo"
Beverages & Water,75,12.99,"SO Delicious, Organic Coconut Milk, 32 oz, 6-Count",USDA Organic   Kosher   Certified Gluten-Free   Non GMO Project Verified   Certified Vegan
Beverages & Water,249,21.99,"La Colombe Draft Latte Cold Brew Coffee, Variety Pack, 9 fl oz, 12-count",Variety Pack   4 - Triple Draft Latte   4 - Mocha Draft Latte   4 - Vanilla Draft Latte   100% Arabica Coffee
Beverages & Water,86,18.99,"Tropicana, 100% Orange Juice, 10 fl oz, 24-Count",Orange Juice   Made From Concentrate   100% DV Vitamin C per Serving   10 fl. oz. Bottle   Net Weight 240 fl. oz.
Beverages & Water,173,18.99,"Coca-Cola Mini, 7.5 fl oz, 30-count",Original   7.5 fl oz Cans   30 Total Cans   90 Calories per Can
Beverages & Water,118,32.99,"Joyburst Energy Variety, 12 fl oz, 18-count","0g of sugar   0g Calories   Naturally Caffeinated (sourced from green tea)   Plant-based ingredients   3 flavors: Peach-Mango, Frose-Rose and Grape"
Beverages & Water,234,29.99,"Illy Cold Brew Coffee Drink, Classico, 8.45 fl oz, 12-count",Classico   8.45 fl oz Cans   12 Total Cans   100% Arabica Coffee   5 Calories per Can
Beverages & Water,163,21.99,"Kirkland Signature, Organic Coconut Water, 33.8 fl oz, 9-count",No Sugar Added   Not From Concentrate   100% Juice   USDA Organic   Kosher
Beverages & Water,213,13.79,"LaCroix Sparkling Water, Variety Pack, 12 fl oz, 24-count","Kosher (Circle U)   0 Calories, 0 Sweetener, 0 Sodium   Naturally Essenced Sparkling Water   6 Lemon, 12 Lime, 6 Grapefruit"
Beverages & Water,36,23.49,"C4 Performance Energy Drink, Frozen Bombsicle, 16 fl oz, 12-count",Frozen Bombsicle   16 fl oz Cans   12 Total Cans   Zero Sugar   200mg Caffeine
Beverages & Water,159,19.99,"San Pellegrino Sparkling Natural Mineral Water, Unflavored, 11.15 fl oz, 24-count",Zero Calories   Unflavored Original
Beverages & Water,113,14.99,"Kirkland Signature Green Tea Bags, 1.5 g, 100-count",100-count   1.5 g. bags   A Blend of Sencha & Matcha   Hot & Cold Brewing   Product of Japan
Beverages & Water,181,21.99,"Horizon, Organic Whole Milk, 8 oz, 18-Count",USDA Organic   Kosher   Grade A   Never any Preservatives   Net Weight: 144 fl oz
Beverages & Water,163,13.79,"LaCroix Sparkling Water, Lime, 12 fl oz, 24-count",Kosher (Circle U)   0 Calories   0 Sweetener   0 Sodium   Naturally Essenced Sparkling Water
Beverages & Water,179,14.99,"Liquid Death Sparkling Water, 16.9 fl oz, 18-count",100% Mountain Water   16.9 fl oz Cans   18 Total Cans
Beverages & Water,7,34.99,"Starbucks Classic Hot Cocoa Mix 30 oz, 2-pack","Rich Velvety Cocoa
Decadent Dark Chocolate Tasting Notes"
